 count | bitstring | hInt  | hidd 
-------+-----------+-------+------
     0 |           |     0 |    1
     1 | 0         |     1 |    2
     2 | 00        |     2 |    4
     3 | 000       |     3 |    8
     4 | 0000      |     4 |   16
     5 | 00000     |     5 |   32
     6 | 000000    |     6 |   64
     7 | 0000000   |     7 |  128
     8 | 00000000  |     8 |  256
     9 | 00000001  |   136 |  257
    10 | 0000001   |   263 |  129
    11 | 00000010  |   264 |  258
    12 | 00000011  |   392 |  259
    13 | 000001    |   518 |   65
    14 | 0000010   |   519 |  130
    15 | 00000100  |   520 |  260
    16 | 00000101  |   648 |  261
    17 | 0000011   |   775 |  131
    18 | 00000110  |   776 |  262
    19 | 00000111  |   904 |  263
    20 | 00001     |  1029 |   33
    21 | 000010    |  1030 |   66
    22 | 0000100   |  1031 |  132
    23 | 00001000  |  1032 |  264
    24 | 00001001  |  1160 |  265
    25 | 0000101   |  1287 |  133
    26 | 00001010  |  1288 |  266
    27 | 00001011  |  1416 |  267
    28 | 000011    |  1542 |   67
    29 | 0000110   |  1543 |  134
    30 | 00001100  |  1544 |  268
    31 | 00001101  |  1672 |  269
    32 | 0000111   |  1799 |  135
    33 | 00001110  |  1800 |  270
    34 | 00001111  |  1928 |  271
    35 | 0001      |  2052 |   17
    36 | 00010     |  2053 |   34
    37 | 000100    |  2054 |   68
    38 | 0001000   |  2055 |  136
    39 | 00010000  |  2056 |  272
    40 | 00010001  |  2184 |  273
    41 | 0001001   |  2311 |  137
    42 | 00010010  |  2312 |  274
    43 | 00010011  |  2440 |  275
    44 | 000101    |  2566 |   69
    45 | 0001010   |  2567 |  138
    46 | 00010100  |  2568 |  276
    47 | 00010101  |  2696 |  277
    48 | 0001011   |  2823 |  139
    49 | 00010110  |  2824 |  278
    50 | 00010111  |  2952 |  279
    51 | 00011     |  3077 |   35
    52 | 000110    |  3078 |   70
    53 | 0001100   |  3079 |  140
    54 | 00011000  |  3080 |  280
    55 | 00011001  |  3208 |  281
    56 | 0001101   |  3335 |  141
    57 | 00011010  |  3336 |  282
    58 | 00011011  |  3464 |  283
    59 | 000111    |  3590 |   71
    60 | 0001110   |  3591 |  142
    61 | 00011100  |  3592 |  284
    62 | 00011101  |  3720 |  285
    63 | 0001111   |  3847 |  143
    64 | 00011110  |  3848 |  286
    65 | 00011111  |  3976 |  287
    66 | 001       |  4099 |    9
    67 | 0010      |  4100 |   18
    68 | 00100     |  4101 |   36
    69 | 001000    |  4102 |   72
    70 | 0010000   |  4103 |  144
    71 | 00100000  |  4104 |  288
    72 | 00100001  |  4232 |  289
    73 | 0010001   |  4359 |  145
    74 | 00100010  |  4360 |  290
    75 | 00100011  |  4488 |  291
    76 | 001001    |  4614 |   73
    77 | 0010010   |  4615 |  146
    78 | 00100100  |  4616 |  292
    79 | 00100101  |  4744 |  293
    80 | 0010011   |  4871 |  147
    81 | 00100110  |  4872 |  294
    82 | 00100111  |  5000 |  295
    83 | 00101     |  5125 |   37
    84 | 001010    |  5126 |   74
    85 | 0010100   |  5127 |  148
    86 | 00101000  |  5128 |  296
    87 | 00101001  |  5256 |  297
    88 | 0010101   |  5383 |  149
    89 | 00101010  |  5384 |  298
    90 | 00101011  |  5512 |  299
    91 | 001011    |  5638 |   75
    92 | 0010110   |  5639 |  150
    93 | 00101100  |  5640 |  300
    94 | 00101101  |  5768 |  301
    95 | 0010111   |  5895 |  151
    96 | 00101110  |  5896 |  302
    97 | 00101111  |  6024 |  303
    98 | 0011      |  6148 |   19
    99 | 00110     |  6149 |   38
   100 | 001100    |  6150 |   76
   101 | 0011000   |  6151 |  152
   102 | 00110000  |  6152 |  304
   103 | 00110001  |  6280 |  305
   104 | 0011001   |  6407 |  153
   105 | 00110010  |  6408 |  306
   106 | 00110011  |  6536 |  307
   107 | 001101    |  6662 |   77
   108 | 0011010   |  6663 |  154
   109 | 00110100  |  6664 |  308
   110 | 00110101  |  6792 |  309
   111 | 0011011   |  6919 |  155
   112 | 00110110  |  6920 |  310
   113 | 00110111  |  7048 |  311
   114 | 00111     |  7173 |   39
   115 | 001110    |  7174 |   78
   116 | 0011100   |  7175 |  156
   117 | 00111000  |  7176 |  312
   118 | 00111001  |  7304 |  313
   119 | 0011101   |  7431 |  157
   120 | 00111010  |  7432 |  314
   121 | 00111011  |  7560 |  315
   122 | 001111    |  7686 |   79
   123 | 0011110   |  7687 |  158
   124 | 00111100  |  7688 |  316
   125 | 00111101  |  7816 |  317
   126 | 0011111   |  7943 |  159
   127 | 00111110  |  7944 |  318
   128 | 00111111  |  8072 |  319
   129 | 01        |  8194 |    5
   130 | 010       |  8195 |   10
   131 | 0100      |  8196 |   20
   132 | 01000     |  8197 |   40
   133 | 010000    |  8198 |   80
   134 | 0100000   |  8199 |  160
   135 | 01000000  |  8200 |  320
   136 | 01000001  |  8328 |  321
   137 | 0100001   |  8455 |  161
   138 | 01000010  |  8456 |  322
   139 | 01000011  |  8584 |  323
   140 | 010001    |  8710 |   81
   141 | 0100010   |  8711 |  162
   142 | 01000100  |  8712 |  324
   143 | 01000101  |  8840 |  325
   144 | 0100011   |  8967 |  163
   145 | 01000110  |  8968 |  326
   146 | 01000111  |  9096 |  327
   147 | 01001     |  9221 |   41
   148 | 010010    |  9222 |   82
   149 | 0100100   |  9223 |  164
   150 | 01001000  |  9224 |  328
   151 | 01001001  |  9352 |  329
   152 | 0100101   |  9479 |  165
   153 | 01001010  |  9480 |  330
   154 | 01001011  |  9608 |  331
   155 | 010011    |  9734 |   83
   156 | 0100110   |  9735 |  166
   157 | 01001100  |  9736 |  332
   158 | 01001101  |  9864 |  333
   159 | 0100111   |  9991 |  167
   160 | 01001110  |  9992 |  334
   161 | 01001111  | 10120 |  335
   162 | 0101      | 10244 |   21
   163 | 01010     | 10245 |   42
   164 | 010100    | 10246 |   84
   165 | 0101000   | 10247 |  168
   166 | 01010000  | 10248 |  336
   167 | 01010001  | 10376 |  337
   168 | 0101001   | 10503 |  169
   169 | 01010010  | 10504 |  338
   170 | 01010011  | 10632 |  339
   171 | 010101    | 10758 |   85
   172 | 0101010   | 10759 |  170
   173 | 01010100  | 10760 |  340
   174 | 01010101  | 10888 |  341
   175 | 0101011   | 11015 |  171
   176 | 01010110  | 11016 |  342
   177 | 01010111  | 11144 |  343
   178 | 01011     | 11269 |   43
   179 | 010110    | 11270 |   86
   180 | 0101100   | 11271 |  172
   181 | 01011000  | 11272 |  344
   182 | 01011001  | 11400 |  345
   183 | 0101101   | 11527 |  173
   184 | 01011010  | 11528 |  346
   185 | 01011011  | 11656 |  347
   186 | 010111    | 11782 |   87
   187 | 0101110   | 11783 |  174
   188 | 01011100  | 11784 |  348
   189 | 01011101  | 11912 |  349
   190 | 0101111   | 12039 |  175
   191 | 01011110  | 12040 |  350
   192 | 01011111  | 12168 |  351
   193 | 011       | 12291 |   11
   194 | 0110      | 12292 |   22
   195 | 01100     | 12293 |   44
   196 | 011000    | 12294 |   88
   197 | 0110000   | 12295 |  176
   198 | 01100000  | 12296 |  352
   199 | 01100001  | 12424 |  353
   200 | 0110001   | 12551 |  177
   201 | 01100010  | 12552 |  354
   202 | 01100011  | 12680 |  355
   203 | 011001    | 12806 |   89
   204 | 0110010   | 12807 |  178
   205 | 01100100  | 12808 |  356
   206 | 01100101  | 12936 |  357
   207 | 0110011   | 13063 |  179
   208 | 01100110  | 13064 |  358
   209 | 01100111  | 13192 |  359
   210 | 01101     | 13317 |   45
   211 | 011010    | 13318 |   90
   212 | 0110100   | 13319 |  180
   213 | 01101000  | 13320 |  360
   214 | 01101001  | 13448 |  361
   215 | 0110101   | 13575 |  181
   216 | 01101010  | 13576 |  362
   217 | 01101011  | 13704 |  363
   218 | 011011    | 13830 |   91
   219 | 0110110   | 13831 |  182
   220 | 01101100  | 13832 |  364
   221 | 01101101  | 13960 |  365
   222 | 0110111   | 14087 |  183
   223 | 01101110  | 14088 |  366
   224 | 01101111  | 14216 |  367
   225 | 0111      | 14340 |   23
   226 | 01110     | 14341 |   46
   227 | 011100    | 14342 |   92
   228 | 0111000   | 14343 |  184
   229 | 01110000  | 14344 |  368
   230 | 01110001  | 14472 |  369
   231 | 0111001   | 14599 |  185
   232 | 01110010  | 14600 |  370
   233 | 01110011  | 14728 |  371
   234 | 011101    | 14854 |   93
   235 | 0111010   | 14855 |  186
   236 | 01110100  | 14856 |  372
   237 | 01110101  | 14984 |  373
   238 | 0111011   | 15111 |  187
   239 | 01110110  | 15112 |  374
   240 | 01110111  | 15240 |  375
   241 | 01111     | 15365 |   47
   242 | 011110    | 15366 |   94
   243 | 0111100   | 15367 |  188
   244 | 01111000  | 15368 |  376
   245 | 01111001  | 15496 |  377
   246 | 0111101   | 15623 |  189
   247 | 01111010  | 15624 |  378
   248 | 01111011  | 15752 |  379
   249 | 011111    | 15878 |   95
   250 | 0111110   | 15879 |  190
   251 | 01111100  | 15880 |  380
   252 | 01111101  | 16008 |  381
   253 | 0111111   | 16135 |  191
   254 | 01111110  | 16136 |  382
   255 | 01111111  | 16264 |  383
   256 | 1         | 16385 |    3
   257 | 10        | 16386 |    6
   258 | 100       | 16387 |   12
   259 | 1000      | 16388 |   24
   260 | 10000     | 16389 |   48
   261 | 100000    | 16390 |   96
   262 | 1000000   | 16391 |  192
   263 | 10000000  | 16392 |  384
   264 | 10000001  | 16520 |  385
   265 | 1000001   | 16647 |  193
   266 | 10000010  | 16648 |  386
   267 | 10000011  | 16776 |  387
   268 | 100001    | 16902 |   97
   269 | 1000010   | 16903 |  194
   270 | 10000100  | 16904 |  388
   271 | 10000101  | 17032 |  389
   272 | 1000011   | 17159 |  195
   273 | 10000110  | 17160 |  390
   274 | 10000111  | 17288 |  391
   275 | 10001     | 17413 |   49
   276 | 100010    | 17414 |   98
   277 | 1000100   | 17415 |  196
   278 | 10001000  | 17416 |  392
   279 | 10001001  | 17544 |  393
   280 | 1000101   | 17671 |  197
   281 | 10001010  | 17672 |  394
   282 | 10001011  | 17800 |  395
   283 | 100011    | 17926 |   99
   284 | 1000110   | 17927 |  198
   285 | 10001100  | 17928 |  396
   286 | 10001101  | 18056 |  397
   287 | 1000111   | 18183 |  199
   288 | 10001110  | 18184 |  398
   289 | 10001111  | 18312 |  399
   290 | 1001      | 18436 |   25
   291 | 10010     | 18437 |   50
   292 | 100100    | 18438 |  100
   293 | 1001000   | 18439 |  200
   294 | 10010000  | 18440 |  400
   295 | 10010001  | 18568 |  401
   296 | 1001001   | 18695 |  201
   297 | 10010010  | 18696 |  402
   298 | 10010011  | 18824 |  403
   299 | 100101    | 18950 |  101
   300 | 1001010   | 18951 |  202
   301 | 10010100  | 18952 |  404
   302 | 10010101  | 19080 |  405
   303 | 1001011   | 19207 |  203
   304 | 10010110  | 19208 |  406
   305 | 10010111  | 19336 |  407
   306 | 10011     | 19461 |   51
   307 | 100110    | 19462 |  102
   308 | 1001100   | 19463 |  204
   309 | 10011000  | 19464 |  408
   310 | 10011001  | 19592 |  409
   311 | 1001101   | 19719 |  205
   312 | 10011010  | 19720 |  410
   313 | 10011011  | 19848 |  411
   314 | 100111    | 19974 |  103
   315 | 1001110   | 19975 |  206
   316 | 10011100  | 19976 |  412
   317 | 10011101  | 20104 |  413
   318 | 1001111   | 20231 |  207
   319 | 10011110  | 20232 |  414
   320 | 10011111  | 20360 |  415
   321 | 101       | 20483 |   13
   322 | 1010      | 20484 |   26
   323 | 10100     | 20485 |   52
   324 | 101000    | 20486 |  104
   325 | 1010000   | 20487 |  208
   326 | 10100000  | 20488 |  416
   327 | 10100001  | 20616 |  417
   328 | 1010001   | 20743 |  209
   329 | 10100010  | 20744 |  418
   330 | 10100011  | 20872 |  419
   331 | 101001    | 20998 |  105
   332 | 1010010   | 20999 |  210
   333 | 10100100  | 21000 |  420
   334 | 10100101  | 21128 |  421
   335 | 1010011   | 21255 |  211
   336 | 10100110  | 21256 |  422
   337 | 10100111  | 21384 |  423
   338 | 10101     | 21509 |   53
   339 | 101010    | 21510 |  106
   340 | 1010100   | 21511 |  212
   341 | 10101000  | 21512 |  424
   342 | 10101001  | 21640 |  425
   343 | 1010101   | 21767 |  213
   344 | 10101010  | 21768 |  426
   345 | 10101011  | 21896 |  427
   346 | 101011    | 22022 |  107
   347 | 1010110   | 22023 |  214
   348 | 10101100  | 22024 |  428
   349 | 10101101  | 22152 |  429
   350 | 1010111   | 22279 |  215
   351 | 10101110  | 22280 |  430
   352 | 10101111  | 22408 |  431
   353 | 1011      | 22532 |   27
   354 | 10110     | 22533 |   54
   355 | 101100    | 22534 |  108
   356 | 1011000   | 22535 |  216
   357 | 10110000  | 22536 |  432
   358 | 10110001  | 22664 |  433
   359 | 1011001   | 22791 |  217
   360 | 10110010  | 22792 |  434
   361 | 10110011  | 22920 |  435
   362 | 101101    | 23046 |  109
   363 | 1011010   | 23047 |  218
   364 | 10110100  | 23048 |  436
   365 | 10110101  | 23176 |  437
   366 | 1011011   | 23303 |  219
   367 | 10110110  | 23304 |  438
   368 | 10110111  | 23432 |  439
   369 | 10111     | 23557 |   55
   370 | 101110    | 23558 |  110
   371 | 1011100   | 23559 |  220
   372 | 10111000  | 23560 |  440
   373 | 10111001  | 23688 |  441
   374 | 1011101   | 23815 |  221
   375 | 10111010  | 23816 |  442
   376 | 10111011  | 23944 |  443
   377 | 101111    | 24070 |  111
   378 | 1011110   | 24071 |  222
   379 | 10111100  | 24072 |  444
   380 | 10111101  | 24200 |  445
   381 | 1011111   | 24327 |  223
   382 | 10111110  | 24328 |  446
   383 | 10111111  | 24456 |  447
   384 | 11        | 24578 |    7
   385 | 110       | 24579 |   14
   386 | 1100      | 24580 |   28
   387 | 11000     | 24581 |   56
   388 | 110000    | 24582 |  112
   389 | 1100000   | 24583 |  224
   390 | 11000000  | 24584 |  448
   391 | 11000001  | 24712 |  449
   392 | 1100001   | 24839 |  225
