 count | bitstring | b4h  | b8h | b16h 
-------+-----------+------+-----+------
     0 |           |      |     | 
     1 | 0         | G    | G   | G
     2 | 00        | 0    | H   | H
     3 | 000       | 0G   | 0   | J
     4 | 0000      | 00   | 0G  | 0
     5 | 00000     | 00G  | 0H  | 0G
     6 | 000000    | 000  | 00  | 0H
     7 | 0000000   | 000G | 00G | 0J
     8 | 00000000  | 0000 | 00H | 00
     9 | 00000001  | 0001 | 00M | 01
    10 | 0000001   | 000Q | 00Q | 0K
    11 | 00000010  | 0002 | 00R | 02
    12 | 00000011  | 0003 | 00V | 03
    13 | 000001    | 001  | 01  | 0M
    14 | 0000010   | 001G | 01G | 0N
    15 | 00000100  | 0010 | 01H | 04
    16 | 00000101  | 0011 | 01M | 05
    17 | 0000011   | 001Q | 01Q | 0P
    18 | 00000110  | 0012 | 01R | 06
    19 | 00000111  | 0013 | 01V | 07
    20 | 00001     | 00Q  | 0M  | 0Q
    21 | 000010    | 002  | 02  | 0R
    22 | 0000100   | 002G | 02G | 0S
    23 | 00001000  | 0020 | 02H | 08
    24 | 00001001  | 0021 | 02M | 09
    25 | 0000101   | 002Q | 02Q | 0T
    26 | 00001010  | 0022 | 02R | 0a
    27 | 00001011  | 0023 | 02V | 0b
    28 | 000011    | 003  | 03  | 0V
    29 | 0000110   | 003G | 03G | 0Z
    30 | 00001100  | 0030 | 03H | 0c
    31 | 00001101  | 0031 | 03M | 0d
    32 | 0000111   | 003Q | 03Q | 0Y
    33 | 00001110  | 0032 | 03R | 0e
    34 | 00001111  | 0033 | 03V | 0f
    35 | 0001      | 01   | 0Q  | 1
    36 | 00010     | 01G  | 0R  | 1G
    37 | 000100    | 010  | 04  | 1H
    38 | 0001000   | 010G | 04G | 1J
    39 | 00010000  | 0100 | 04H | 10
    40 | 00010001  | 0101 | 04M | 11
    41 | 0001001   | 010Q | 04Q | 1K
    42 | 00010010  | 0102 | 04R | 12
    43 | 00010011  | 0103 | 04V | 13
    44 | 000101    | 011  | 05  | 1M
    45 | 0001010   | 011G | 05G | 1N
    46 | 00010100  | 0110 | 05H | 14
    47 | 00010101  | 0111 | 05M | 15
    48 | 0001011   | 011Q | 05Q | 1P
    49 | 00010110  | 0112 | 05R | 16
    50 | 00010111  | 0113 | 05V | 17
    51 | 00011     | 01Q  | 0V  | 1Q
    52 | 000110    | 012  | 06  | 1R
    53 | 0001100   | 012G | 06G | 1S
    54 | 00011000  | 0120 | 06H | 18
    55 | 00011001  | 0121 | 06M | 19
    56 | 0001101   | 012Q | 06Q | 1T
    57 | 00011010  | 0122 | 06R | 1a
    58 | 00011011  | 0123 | 06V | 1b
    59 | 000111    | 013  | 07  | 1V
    60 | 0001110   | 013G | 07G | 1Z
    61 | 00011100  | 0130 | 07H | 1c
    62 | 00011101  | 0131 | 07M | 1d
    63 | 0001111   | 013Q | 07Q | 1Y
    64 | 00011110  | 0132 | 07R | 1e
    65 | 00011111  | 0133 | 07V | 1f
    66 | 001       | 0Q   | 1   | K
    67 | 0010      | 02   | 1G  | 2
    68 | 00100     | 02G  | 1H  | 2G
    69 | 001000    | 020  | 10  | 2H
    70 | 0010000   | 020G | 10G | 2J
    71 | 00100000  | 0200 | 10H | 20
    72 | 00100001  | 0201 | 10M | 21
    73 | 0010001   | 020Q | 10Q | 2K
    74 | 00100010  | 0202 | 10R | 22
    75 | 00100011  | 0203 | 10V | 23
    76 | 001001    | 021  | 11  | 2M
    77 | 0010010   | 021G | 11G | 2N
    78 | 00100100  | 0210 | 11H | 24
    79 | 00100101  | 0211 | 11M | 25
    80 | 0010011   | 021Q | 11Q | 2P
    81 | 00100110  | 0212 | 11R | 26
    82 | 00100111  | 0213 | 11V | 27
    83 | 00101     | 02Q  | 1M  | 2Q
    84 | 001010    | 022  | 12  | 2R
    85 | 0010100   | 022G | 12G | 2S
    86 | 00101000  | 0220 | 12H | 28
    87 | 00101001  | 0221 | 12M | 29
    88 | 0010101   | 022Q | 12Q | 2T
    89 | 00101010  | 0222 | 12R | 2a
    90 | 00101011  | 0223 | 12V | 2b
    91 | 001011    | 023  | 13  | 2V
    92 | 0010110   | 023G | 13G | 2Z
    93 | 00101100  | 0230 | 13H | 2c
    94 | 00101101  | 0231 | 13M | 2d
    95 | 0010111   | 023Q | 13Q | 2Y
    96 | 00101110  | 0232 | 13R | 2e
    97 | 00101111  | 0233 | 13V | 2f
    98 | 0011      | 03   | 1Q  | 3
    99 | 00110     | 03G  | 1R  | 3G
   100 | 001100    | 030  | 14  | 3H
   101 | 0011000   | 030G | 14G | 3J
   102 | 00110000  | 0300 | 14H | 30
   103 | 00110001  | 0301 | 14M | 31
   104 | 0011001   | 030Q | 14Q | 3K
   105 | 00110010  | 0302 | 14R | 32
   106 | 00110011  | 0303 | 14V | 33
   107 | 001101    | 031  | 15  | 3M
   108 | 0011010   | 031G | 15G | 3N
   109 | 00110100  | 0310 | 15H | 34
   110 | 00110101  | 0311 | 15M | 35
   111 | 0011011   | 031Q | 15Q | 3P
   112 | 00110110  | 0312 | 15R | 36
   113 | 00110111  | 0313 | 15V | 37
   114 | 00111     | 03Q  | 1V  | 3Q
   115 | 001110    | 032  | 16  | 3R
   116 | 0011100   | 032G | 16G | 3S
   117 | 00111000  | 0320 | 16H | 38
   118 | 00111001  | 0321 | 16M | 39
   119 | 0011101   | 032Q | 16Q | 3T
   120 | 00111010  | 0322 | 16R | 3a
   121 | 00111011  | 0323 | 16V | 3b
   122 | 001111    | 033  | 17  | 3V
   123 | 0011110   | 033G | 17G | 3Z
   124 | 00111100  | 0330 | 17H | 3c
   125 | 00111101  | 0331 | 17M | 3d
   126 | 0011111   | 033Q | 17Q | 3Y
   127 | 00111110  | 0332 | 17R | 3e
   128 | 00111111  | 0333 | 17V | 3f
   129 | 01        | 1    | M   | M
   130 | 010       | 1G   | 2   | N
   131 | 0100      | 10   | 2G  | 4
   132 | 01000     | 10G  | 2H  | 4G
   133 | 010000    | 100  | 20  | 4H
   134 | 0100000   | 100G | 20G | 4J
   135 | 01000000  | 1000 | 20H | 40
   136 | 01000001  | 1001 | 20M | 41
   137 | 0100001   | 100Q | 20Q | 4K
   138 | 01000010  | 1002 | 20R | 42
   139 | 01000011  | 1003 | 20V | 43
   140 | 010001    | 101  | 21  | 4M
   141 | 0100010   | 101G | 21G | 4N
   142 | 01000100  | 1010 | 21H | 44
   143 | 01000101  | 1011 | 21M | 45
   144 | 0100011   | 101Q | 21Q | 4P
   145 | 01000110  | 1012 | 21R | 46
   146 | 01000111  | 1013 | 21V | 47
   147 | 01001     | 10Q  | 2M  | 4Q
   148 | 010010    | 102  | 22  | 4R
   149 | 0100100   | 102G | 22G | 4S
   150 | 01001000  | 1020 | 22H | 48
   151 | 01001001  | 1021 | 22M | 49
   152 | 0100101   | 102Q | 22Q | 4T
